,date,share_price,oil_price,year,name,share_price_scaled
252,23-02-2000,216.239975,27.92,2000,BP.L,0.110012166
253,23-02-2000,15.399,27.92,2000,CNE.L,0.005519814
254,23-02-2000,25.365469,27.92,2000,PMO.L,0.012732226
255,23-02-2000,35.049355,27.92,2000,STL.OL,0.045213073
256,23-02-2000,8.280466,27.92,2000,FP.PA,0.022527032
257,23-02-2000,8.954624,27.92,2000,REP.MC,0.304762781
258,23-02-2000,17.249025,27.92,2000,ENGI.PA,0.595134158
259,24-02-2000,209.637314,28.21,2000,BP.L,0.089408826
260,24-02-2000,15.193,28.21,2000,CNE.L,0.00509105
261,24-02-2000,24.770861,28.21,2000,PMO.L,0.01154289
262,24-02-2000,35.105618,28.21,2000,STL.OL,0.045634666
263,24-02-2000,8.200426,28.21,2000,FP.PA,0.020574544
264,24-02-2000,9.161085,28.21,2000,REP.MC,0.321698969
265,24-02-2000,17.106976,28.21,2000,ENGI.PA,0.58852164
266,25-02-2000,217.890686,28.53,2000,BP.L,0.115163143
267,25-02-2000,15.053,28.53,2000,CNE.L,0.004799657
268,25-02-2000,24.770861,28.53,2000,PMO.L,0.01154289
269,25-02-2000,34.880577,28.53,2000,STL.OL,0.04394838
270,25-02-2000,8.495943,28.53,2000,FP.PA,0.027783355
271,25-02-2000,9.444366,28.53,2000,REP.MC,0.344936772
272,25-02-2000,17.63459,28.53,2000,ENGI.PA,0.613082581
273,28-02-2000,217.654953,28.7,2000,BP.L,0.114427548
274,28-02-2000,14.431,28.7,2000,CNE.L,0.00350504
275,28-02-2000,25.365469,28.7,2000,PMO.L,0.012732226
276,28-02-2000,34.317989,28.7,2000,STL.OL,0.039732774
277,28-02-2000,8.434377,28.7,2000,FP.PA,0.026281521
278,28-02-2000,9.386749,28.7,2000,REP.MC,0.340210396
279,28-02-2000,17.401222,28.7,2000,ENGI.PA,0.602219075
280,29-02-2000,229.917099,29.01,2000,BP.L,0.152691083
281,29-02-2000,14.915,29.01,2000,CNE.L,0.004512427
282,29-02-2000,25.365469,29.01,2000,PMO.L,0.012732226
283,29-02-2000,35.218136,29.01,2000,STL.OL,0.04647779
284,29-02-2000,8.46516,29.01,2000,FP.PA,0.027032438
285,29-02-2000,9.434764,29.01,2000,REP.MC,0.344149111
286,29-02-2000,17.350487,29.01,2000,ENGI.PA,0.599857312
287,01-03-2000,229.681198,29.78,2000,BP.L,0.151954964
288,01-03-2000,15.259,29.78,2000,CNE.L,0.005228421
289,01-03-2000,25.365469,29.78,2000,PMO.L,0.012732226
290,01-03-2000,35.049355,29.78,2000,STL.OL,0.045213073
291,01-03-2000,8.477471,29.78,2000,FP.PA,0.027332751
292,01-03-2000,9.218701,29.78,2000,REP.MC,0.326425263
293,01-03-2000,17.75635,29.78,2000,ENGI.PA,0.618750626
294,02-03-2000,236.519928,30.12,2000,BP.L,0.173294947
295,02-03-2000,15.887,30.12,2000,CNE.L,0.006535526
